CustomerID,Orders,Revenue,AverageOrderValue,Segment
14646,73,280206.02,3838.4386301369855,Champions
18102,60,259657.3,4327.621666666667,Champions
17450,46,194390.79,4225.886739130435,Champions
16446,2,168472.5,84236.25,Potential Loyalists
14911,201,143711.17,714.980945273632,Champions
12415,21,124914.53,5948.310952380953,Champions
14156,55,117210.08,2131.092363636364,Champions
17511,31,91062.38,2937.496129032258,Champions
16029,63,80850.84,1283.3466666666666,Loyal Customers
12346,1,77183.6,77183.6,Big Spenders
16684,28,66653.56,2380.4842857142858,Champions
14096,17,65164.79,3833.222941176471,Champions
13694,50,65039.62,1300.7924,Champions
15311,91,60632.75,666.2939560439561,Champions
13089,97,58762.08,605.7946391752578,Champions
17949,45,58510.48,1300.232888888889,Champions
15769,26,56252.72,2163.566153846154,Champions
15061,48,54534.14,1136.1279166666666,Champions
14298,44,51527.3,1171.075,Champions
14088,13,50491.81,3883.9853846153846,Champions
